movie_name,message_id,date,channel_id,channel_name,channel_emoji,added_timestamp
"Metro In Dino (2025)",1924,20-01-2025,-1003181705395,Movies and Webseries,ðŸŽ¬,2025-01-20 14:30:45
"Pushpa 2: The Rule 2024",1925,19-01-2025,-1003251791991,Private Channel,ðŸ”’,2025-01-20 14:35:22
"Kalki 2898 AD (2024)",1926,18-01-2025,-1002337293281,Backup Channel 2,ðŸ’¾,2025-01-20 14:40:10
"Avengers: Endgame",1927,17-01-2025,-1003614546520,Forwarded Channel,ðŸ”„,2025-01-20 14:45:33
"Spiderman: No Way Home",1928,16-01-2025,-1002831605258,Threater Print,ðŸŽ­,2025-01-20 14:50:15
"Jawan (2023)",1929,15-01-2025,-1002964109368,ET Backup,ðŸ“¦,2025-01-20 14:55:40
"Mandala Murders 2025 S01",6,,-1003181705395,,,
"Mandala Murders 2025 S01",7,,-1003181705395,,,
"Mandala Murders 2025 S01",8,,-1003181705395,,,
"3BHK (2025)",330,,-1002337293281,,,
"3BHK (2025)",331,,-1002337293281,,,
"3BHK (2025)",332,,-1002337293281,,,
"3BHK (2025)",333,,-1002337293281,,,
"Baahubali The Epic 2025",4,,-1002831605258,,,
"Baahubali The Epic 2025",5,,-1002831605258,,,
"Baahubali The Epic 2025",6,,-1002831605258,,,
"Baahubali The Epic 2025",7,,-1002831605258,,,
"Anyaa 2025 S01",48,,-1003251791991,,,
"Anyaa 2025 S01",49,,-1003251791991,,,
"Anyaa 2025 S01",50,,-1003251791991,,,
"GUYS BACKUP CHANNEL JOIN KARO",3,,-1002964109368,,,
"Drive 2025",2,,-1003614546520,,,
"Drive 2025",3,,-1003614546520,,,
"Drive 2025",4,,-1003614546520,,,
"Drive 2025",5,,-1003614546520,,,
"Drive 2025",6,,-1003614546520,,,
"Drive 2025",7,,-1003614546520,,,
"Drive 2025",8,,-1003614546520,,,
"Drive 2025",9,,-1003614546520,,,
"Drive 2025",10,,-1003614546520,,,
"Drive 2025",11,,-1003614546520,,,
"Squid Game S01",12,,-1003614546520,,,
